tract,med_hh_income,med_hh_income_universe,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
6037482503,67566,1057,Low Income,Yes,No,Yes,District 1,City of Rosemead,SPA 3 - San Gabriel,3522,7911506.792,11314.37958
6037482521,64500,1448,Low Income,Yes,No,Yes,District 1,Unincorporated - South San Gabriel,SPA 3 - San Gabriel,3523,16714454.2,18531.80344
6037482522,64281,1491,Low Income,Yes,No,Yes,District 1,City of Montebello,SPA 7 - East,3524,17724396.1,19070.14104
6037482600,76894,2240,Low Income,Yes,No,Yes,District 1,City of Monterey Park,SPA 3 - San Gabriel,3525,30470119.39,24280.77045
6037482701,71438,1320,Low Income,Yes,No,Yes,District 1,City of Monterey Park,SPA 3 - San Gabriel,3526,13231983.61,25034.52628
6037482702,96484,823,Above Moderate Income,No,No,No,District 1,City of Monterey Park,SPA 3 - San Gabriel,3527,7762416.049,13723.92096
6037482801,73500,1270,Low Income,Yes,No,Yes,District 1,City of Monterey Park,SPA 3 - San Gabriel,3528,34033731.14,30235.57925
6037500100,180720,1065,Above Moderate Income,No,No,No,District 4,City of La Habra Heights,SPA 7 - East,3529,108664660.6,50434.60593
6037500202,124321,1469,Above Moderate Income,No,No,No,District 4,City of Whittier,SPA 7 - East,3530,68470239.95,40918.05287
6037500203,108925,1223,Above Moderate Income,No,No,No,District 4,City of Whittier,SPA 7 - East,3531,20227645.42,22708.7445
6037500204,154299,859,Above Moderate Income,No,No,No,District 4,City of La Habra Heights,SPA 7 - East,3532,57205334.07,39351.02374
6037500300,97425,1147,Above Moderate Income,No,No,No,District 4,Unincorporated - Whittier,SPA 7 - East,3533,95886637.44,44549.41176
6037670326,157130,1272,Above Moderate Income,No,No,No,District 4,City of Palos Verdes Estates,SPA 8 - South Bay,3534,43526042.44,36431.26859
6037670328,204179,1599,Above Moderate Income,No,No,No,District 4,City of Palos Verdes Estates,SPA 8 - South Bay,3535,38287711.7,35670.85587
6037670405,112708,1075,Above Moderate Income,No,No,No,District 4,City of Rancho Palos Verdes,SPA 8 - South Bay,3536,16475979.51,21210.75337
6037670406,194236,577,Above Moderate Income,No,No,No,District 4,City of Rolling Hills Estates,SPA 8 - South Bay,3537,12863054.77,14337.52777
6037670407,100938,2351,Above Moderate Income,No,No,No,District 4,City of Rancho Palos Verdes,SPA 8 - South Bay,3538,12993757.94,16827.59697
6037670413,153145,1672,Above Moderate Income,No,No,No,District 4,City of Rancho Palos Verdes,SPA 8 - South Bay,3539,23570288.96,20366.67853
6037670416,110625,1609,Above Moderate Income,No,No,No,District 4,City of Rancho Palos Verdes,SPA 8 - South Bay,3540,37159320.38,27428.93905
6037670417,143750,1026,Above Moderate Income,No,No,No,District 4,City of Rancho Palos Verdes,SPA 8 - South Bay,3541,21741527.57,20027.16155
6037670418,169345,1408,Above Moderate Income,No,No,No,District 4,City of Rancho Palos Verdes,SPA 8 - South Bay,3542,27519559.32,24794.5169
6037670500,250000,550,Above Moderate Income,No,No,No,District 4,City of Rolling Hills,SPA 8 - South Bay,3543,82518876.37,46433.1199
6037670603,209500,594,Above Moderate Income,No,No,No,District 4,City of Rancho Palos Verdes,SPA 8 - South Bay,3544,42051433.4,36174.2349
6037670604,151538,1968,Above Moderate Income,No,No,No,District 4,City of Rancho Palos Verdes,SPA 8 - South Bay,3545,110134649.2,99321.27399
6037670701,153302,2228,Above Moderate Income,No,No,No,District 4,City of Rancho Palos Verdes,SPA 8 - South Bay,3546,30800899.52,32455.70358
6037670702,182260,2084,Above Moderate Income,No,No,No,District 4,City of Rancho Palos Verdes,SPA 8 - South Bay,3547,72953415.2,59188.1237
6037700101,70045,3269,Low Income,Yes,No,Yes,District 3,City of West Hollywood,SPA 4 - Metro,3548,7248139.885,13591.47643
6037700102,37014,2948,Very Low Income,Yes,Yes,Yes,District 3,City of West Hollywood,SPA 4 - Metro,3549,5302940.472,13535.34196
6037700200,74605,4424,Low Income,Yes,No,Yes,District 3,City of West Hollywood,SPA 4 - Metro,3550,7381573.278,13007.77949
6037700300,80381,3910,Low Income,No,No,Yes,District 3,City of West Hollywood,SPA 4 - Metro,3551,6449915.854,13744.73659
6037700400,82308,2974,Low Income,No,No,Yes,District 3,City of West Hollywood,SPA 4 - Metro,3552,14273444.22,20695.86247
6037700501,69477,2430,Low Income,Yes,No,Yes,District 3,City of West Hollywood,SPA 4 - Metro,3553,6428353.161,14556.38308
6037700502,83971,2890,Low Income,No,No,Yes,District 3,City of West Hollywood,SPA 4 - Metro,3554,5454767.544,10628.07362
6037700600,173672,1755,Above Moderate Income,No,No,No,District 3,City of Beverly Hills,SPA 5 - West,3555,61159774.47,45106.84674
6037700700,194154,1147,Above Moderate Income,No,No,No,District 3,City of Beverly Hills,SPA 5 - West,3556,37897052.82,31200.99347
6037700801,80417,2206,Low Income,No,No,Yes,District 3,City of Beverly Hills,SPA 5 - West,3557,15717383.36,19965.10576
6037700802,89398,2085,Low Income,No,No,Yes,District 3,City of Beverly Hills,SPA 5 - West,3558,7302287.234,14888.34372
6037700901,82857,1444,Low Income,No,No,Yes,District 3,City of Beverly Hills,SPA 5 - West,3559,11377820.65,18770.36986
6037700902,79037,3459,Low Income,Yes,No,Yes,District 3,City of Beverly Hills,SPA 5 - West,3560,10288596.88,12917.87842
6037701000,107695,2589,Above Moderate Income,No,No,No,District 3,City of Beverly Hills,SPA 5 - West,3561,15201980.04,17530.92091
6037701201,209083,1425,Above Moderate Income,No,No,No,District 3,City of Santa Monica,SPA 5 - West,3562,20797737.92,18156.85949
6037701202,138857,1722,Above Moderate Income,No,No,No,District 3,City of Santa Monica,SPA 5 - West,3563,4362526.576,9140.208205
6037701302,78542,2864,Low Income,Yes,No,Yes,District 3,City of Santa Monica,SPA 5 - West,3564,4915205.767,9925.940354
6037701304,127115,2768,Above Moderate Income,No,No,No,District 3,City of Santa Monica,SPA 5 - West,3565,21323398.53,20489.18545
6037701402,107429,3586,Above Moderate Income,No,No,No,District 3,City of Santa Monica,SPA 5 - West,3566,7457864.641,12197.09515
6037701501,126875,2710,Above Moderate Income,No,No,No,District 3,City of Santa Monica,SPA 5 - West,3567,6637488.002,12363.0986
6037701502,93590,1935,Low Income,No,No,Yes,District 3,City of Santa Monica,SPA 5 - West,3568,6589618.769,12353.4412
6037701601,136250,1691,Above Moderate Income,No,No,No,District 3,City of Santa Monica,SPA 5 - West,3569,13023655.41,15732.07102
6037701602,101648,1867,Above Moderate Income,No,No,No,District 3,City of Santa Monica,SPA 5 - West,3570,7119825.181,13111.23926
6037701701,67113,1727,Low Income,Yes,No,Yes,District 3,City of Santa Monica,SPA 5 - West,3571,7049752.503,13086.27912
6037701702,69904,1677,Low Income,Yes,No,Yes,District 3,City of Santa Monica,SPA 5 - West,3572,6507747.254,12303.03064
6037701801,66464,2781,Low Income,Yes,No,Yes,District 3,City of Santa Monica,SPA 5 - West,3573,20423768.01,19261.62465
6037701802,75020,2015,Low Income,Yes,No,Yes,District 3,City of Santa Monica,SPA 5 - West,3574,13452438.07,15254.84606
6037701902,68935,3095,Low Income,Yes,No,Yes,District 3,City of Santa Monica,SPA 5 - West,3575,16583120.92,16639.09134
6037702002,88375,3495,Low Income,No,No,Yes,District 3,City of Santa Monica,SPA 5 - West,3576,10473116.6,13179.75352
6037123301,56380,1639,Very Low Income,Yes,No,Yes,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,3577,14044397.72,17672.23487
6037123303,53866,875,Very Low Income,Yes,No,Yes,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,3578,6799869.66,13016.25167
6037123304,41438,1808,Very Low Income,Yes,Yes,Yes,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,3579,9447370.322,13402.34955
6037123410,51094,1200,Very Low Income,Yes,No,Yes,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,3580,5327906.847,9495.326607
6037123420,47183,1649,Very Low Income,Yes,Yes,Yes,District 3,Los Angeles - Valley Glen,SPA 2 - San Fernando,3581,8476029.851,14726.85717
6037123510,47776,1672,Very Low Income,Yes,Yes,Yes,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,3582,8603575.376,12258.47996
6037123520,48696,772,Very Low Income,Yes,No,Yes,District 3,Los Angeles - Valley Glen,SPA 2 - San Fernando,3583,5504854.454,12484.65911
6037123601,57588,1916,Very Low Income,Yes,No,Yes,District 3,Los Angeles - Valley Glen,SPA 2 - San Fernando,3584,16517551.72,18181.93275
6037123602,47593,1290,Very Low Income,Yes,Yes,Yes,District 3,Los Angeles - Valley Glen,SPA 2 - San Fernando,3585,9916166.487,14181.49642
