Ticket number,Issue Date,RP State Plate,Make,Location,Violation code,Violation Description,Fine amount,Latitude,Longitude,year,csa,ami_category
4539420760,11/17/2021,CA,TOYT,1649 VAN NESS AVE,80.69BS,NO PARK/STREET CLEAN,73.0,34.04295962189883,-118.31638242672852,2021,Harvard Heights,Extremely Low Income
4538877394,11/26/2021,CA,CHEV,1570 EDGEMONT ST N,80.56E4+,RED ZONE,93.0,34.099176000600075,-118.29613000194956,2021,East Hollywood,Very Low Income
4538433056,11/05/2021,CA,NISS,2200 MARATHON ST,80.69BS,NO PARK/STREET CLEAN,73.0,34.076674999454355,-118.26635900265315,2021,Temple-Beaudry,Low Income
4526312420,02/28/2021,CA,FORD,1700 WHITLEY AV,5204A-,DISPLAY OF TABS,25.0,34.10157900013292,-118.33332900054093,2021,Hollywood,Very Low Income
4524563934,01/15/2021,CA,HOND,3301 ESTRADA ST,80.56E4+,RED ZONE,93.0,34.02171799994037,-118.2074870022865,2021,Boyle Heights,Extremely Low Income
4538794783,11/10/2021,CA,AUDI,11600 BARRINGTON CT W,88.13B+,METER EXP.,63.0,34.06523799887102,-118.46928099770727,2021,Brentwood,Above Moderate Income
4538526506,11/01/2021,CA,CHEV,10982 ROEBLING AVE,80.69C,PARKED OVER TIME LIMIT,58.0,34.06475022394428,-118.44970460017582,2021,Westwood,Extremely Low Income
4526832892,07/28/2021,CA,HOND,4639 BOWMAN BLVD,22500E,BLOCKING DRIVEWAY,68.0,34.08123081342419,-118.18309018875212,2021,El Sereno,Very Low Income
4539351154,12/13/2021,CA,CHEV,8650 YOLANDA AVE,5204A-,DISPLAY OF TABS,25.0,34.22759376184393,-118.54045599843683,2021,Northridge,Low Income
4538359125,11/08/2021,CA,CHRY,745 ORANGE GROVE AVE S,80.69BS,NO PARK/STREET CLEAN,73.0,34.06193439827899,-118.3608041721225,2021,Miracle Mile,Low Income
